id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
61,NULL,VANESSA ALVES,Impressora HP,Eletrônicos, sudeste ,12,850
62,2024-07-04,  Ricardo Rocha ,Impressora HP,Eletrônicos,Nordeste,4,850
63,2024-04-05,ROBERTO OLIVEIRA,Impressora HP,Eletrônicos,Centro-Oeste,12,850
64,2024.03.10,ROBERTO OLIVEIRA,Mouse Sem Fio,Periféricos,Sul,7 un,120
65,NULL,Luiz Silva & Cia, Smartphone Samsung ,Eletrônicos, sudeste ,4,2800
66,invalid_date,luciana gomes,Mesa Gamer,Móveis,Sudeste,6,1100
67,2024-07-04,luciana gomes,Fone de Ouvido,Acessórios,Centro-Oeste,7,180
68,2024-02-30,luciana gomes,Mouse Sem Fio,Periféricos,SUL,3,120
69,2024/02/01,Carlos Eduardo,Notebook Dell,Eletrônicos,Sudeste,3,4500
70,31/02/2024,  Pedro Alves  ,Notebook Dell,Eletrônicos, sudeste ,6,4500
71,2024-04-05,luciana gomes,Cadeira Ergonômica,Móveis,SUL,8,
72,2024-13-01,Carlos Eduardo,Notebook Dell,Eletrônicos, sudeste ,11,
73,2024.03.10, João Silva ,"MONITOR 27""", eletrônicos ,Sudeste,8,1200
74,2024-06-11,,"MONITOR 27""",Eletrônicos,Norte,10 un,1200
75,2024-01-15, Ana Paula Santos,Teclado Mecânico,Periféricos,Sul,10,250
76,2024/02/01,luciana gomes,Fone de Ouvido,Acessórios,Centro-Oeste,11,180
77,2024-06-11,  beatriz mendes,Mesa Gamer,Móveis,Sudeste,11,1100
78,2024-07-04,Maria Souza ,Mouse Sem Fio, periféricos ,SUL,-3,120
79,2024-07-04,VANESSA ALVES,Teclado Mecânico,Periféricos,Norte,12,250
80,2024-04-05,Gabriel Costa,"MONITOR 27""",Eletrônicos,Sul,4,1200
81,2024-01-15,,Mesa Gamer,Móveis, sudeste ,6,-1100
82,2024-04-05,Luiz Silva & Cia,Mouse Sem Fio,Periféricos, sudeste ,12,120
83,2024/02/01,Carlos Eduardo,Notebook Dell,Eletrônicos,Centro-Oeste,7,4500
84,NULL,fernanda lima,   HD Externo 1TB  ,Acessórios,NORDESTE,2,380
85,2024-07-04,luciana gomes,"MONITOR 27""",Eletrônicos, sudeste ,6,1200
86,2024-04-05,Carlos Eduardo,Mouse Sem Fio,Periféricos,NORDESTE,4,"R$ 120,00"
87,31/02/2024,Luiz Silva & Cia,Mouse Sem Fio, periféricos ,Nordeste,8,120
88,31/02/2024,,Impressora HP,Eletrônicos,Sul,6,-850
89,2024-01-18, João Silva ,Impressora HP, eletrônicos ,Sudeste,12,850
90,2024-07-04,joao silva, Smartphone Samsung ,Eletrônicos,Norte,6,-2800
91,15/02/2024,MARIA SOUZA,Cadeira Ergonômica,Móveis,NORDESTE,7,950
92,2024/02/01,,Notebook Dell, eletrônicos ,Norte,2,4500
93,invalid_date,  Ricardo Rocha ,Mesa Gamer,Móveis,Centro-Oeste,8,1100
94,15/02/2024,,Fone de Ouvido,Acessórios,Sudeste,4,180
95,2024/02/01,ROBERTO OLIVEIRA, Smartphone Samsung , eletrônicos ,Nordeste,7 un,2800
96,2024-04-12,  ,   HD Externo 1TB  ,Acessórios,Centro-Oeste,12,380
97,NULL,carlos eduardo,"MONITOR 27""",Eletrônicos,Centro-Oeste,-2,1200
98,2024-04-12,ROBERTO OLIVEIRA,Teclado Mecânico, periféricos ,Nordeste,10,250
99,invalid_date,VANESSA ALVES, Smartphone Samsung ,Eletrônicos,Norte,9,2800
100,2024-05-20,VANESSA ALVES, Smartphone Samsung ,Eletrônicos,SUL,1,"R$ 2.800,00"
101,2024-01-18,,Mesa Gamer,Móveis,Norte,3,1100
102,2024-07-04,VANESSA ALVES,Cadeira Ergonômica, móveis ,SUL,8,950
103,2024-05-20,Gabriel Costa,Mouse Sem Fio,Periféricos,Nordeste,8,120
104,2024-05-20,luciana gomes,Impressora HP, eletrônicos ,Sul,2,850
105,NULL,luciana gomes,Impressora HP,Eletrônicos,Sudeste,4,850
106,31/02/2024,  ,   HD Externo 1TB  ,Acessórios,Sudeste,3,380
107,2024-02-30,VANESSA ALVES,   HD Externo 1TB  , acessórios ,Centro-Oeste,1,380
108,NULL,carlos eduardo,"MONITOR 27""",Eletrônicos,Sul,11,1200
109,NULL,joao silva,Cadeira Ergonômica,Móveis,Norte,8,950
110,2024/02/01,Carlos Eduardo,Teclado Mecânico,Periféricos,Nordeste,7,250
